file,integratedLUFS,LRA,shortTermLUFS,momentaryLUFS,truePeak_dBTP,speechLUFS,speechRatio,LD,dialogueRisk
1kHz Sine -20 LUFS-16bit.wav,-23.6612483051828,4.65467020518417e-05,-23.6612419781223,-23.6612432139803,-19.9463627684509,NaN,0,NaN,1
1kHz Sine -26 LUFS-16bit.wav,-29.6612503298199,7.87448040107108e-05,-29.6612532103696,-29.6612507774104,-25.9432697826048,NaN,0,NaN,1
1kHz Sine -40 LUFS-16bit.wav,-43.7006733132464,8.73236388656551e-05,-43.700658165393,-43.7006444091433,-39.9463626984299,NaN,0,NaN,1
EBU-reference_listening_signal_pinknoise_500Hz_2kHz_R128.wav,-24.1168692471316,0.545038062251034,-24.1959570246717,-24.2723333414392,-9.30020061369488,NaN,0,NaN,1
p226_009(1).wav,-27.4770967377316,14.708978015495,-27.1963448054507,-41.979102996321,-5.58667731936708,-23.9723351052504,0.770938924957198,0.948828936158328,0
p226_009.wav,-28.0711625133943,15.1361599349709,-27.3991465022602,-45.5697320963218,-5.96301172370172,-24.1197717018225,0.772973064600885,0.943429639754125,0
p226_010(1).wav,-26.5187881889791,19.01209113408,-25.7144360740838,-37.3489204636432,-5.41339527980377,-22.0533192404074,0.705618750111142,0.736346334818002,0
p226_010.wav,-29.0362631083245,28.8901314730474,-27.6754506957198,-46.8943295099802,-6.01169651452789,-22.6062888742409,0.773904435605769,0.796492217628568,0
p226_011(1).wav,-27.2028113237538,15.8585231826781,-28.1421254237514,-37.7012201341423,-5.1977904374859,-22.2914262316981,0.560667826976328,1.6546608078584,0
p226_011.wav,-29.8237937551974,26.3397652979376,-30.3816060193503,-54.9601803286839,-5.98092512286295,-24.2902510081848,0.740583622200075,1.07638605413828,0
p226_012(1).wav,-27.6347216953371,10.1251584403239,-27.9460066438457,-33.4888833752925,-5.64051385455927,NaN,0,NaN,1
p226_012.wav,-31.1545344312644,15.2948147111464,-30.1199148832668,-39.8841972650784,-5.98130478300229,-28.9274495686619,0.701566064137706,-0.671537568970987,0
p226_013(1).wav,-27.2382354031907,21.1574568179679,-26.8240141766682,-40.9972093907581,-5.75214186662462,-22.7791511298912,0.681912681912682,1.45427575296276,0
p226_013.wav,-28.9974874329874,32.6605176613668,-28.3286409084763,-54.2301117015604,-6.01469651981567,-22.9095520579316,0.700623700623701,1.49549407117833,0
seq-3341-1-16bit.wav,-26.6609822372543,3.93251169050757e-05,-26.6609839457804,-26.6609941373223,-22.9470379499553,NaN,0,NaN,1
seq-3341-10-1-24bit.wav,-39.1423391169038,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-10-24bit.wav,-48.7772951518243,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-11-24bit.wav,-51.2127275664549,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-12-24bit.wav,-51.32014266158,67.000213957054,-40.6311231761157,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
seq-3341-10-13-24bit.wav,-53.5302661259669,67.000213957054,-42.0453769430409,-93.7009344908408,-22.9944721429719,NaN,0,NaN,1
